# List of aircraft types to use in the traffic database
# Open in Excel as a comma delimited file for viewing/editing
# Notes:
#   typeKey = a unique keyword used to identify this type of aircraft (max 15 chars)
#   title = the aircraft title string from aircraft.cfg
#   speed = cruising speed in knots true airspeed (KTAS)
#   minAlt maxAlt = minimum and maximum cruise flight levels in hundreds of feet
#   minRange maxRange = minimum and maximum range in nautical miles
#   minRwyLen = minimum runway length in feet required by this aircraft
#   runwayTypes = HARD|SOFT|WATER|SNOW (choose one or more)
#   radius = minimum parking radius in meters required by this aircraft
#   parkingTypes = RAMP|CARGO|GATE|DOCK|MIL_CARGO|MIL_COMBAT (choose one or more)
#   IFR% = probability of this aircraft flying IFR (0 - 100)
#   AutoRoute? = automatically generate route for this aircraft (yes/no)
#   TouchAndGo? = allow touch and goes when automatically generating routes (yes/no)
#
#   Duplicate entries are used to roughly allocate weight to various aircraft (e.g. we
#   want the Maul to be 40% as common as the 172. Also note that some radius values may
#   not be accurate. They can be tweaked upward to get desireable distribution - CARGO
#   spots are 50 meters so we call the 747 cargo variant 40 meters to make them be accepted
#   as valid for CARGO parking areas.
# typeKey,Title,Cruise,minAlt,maxAlt,minRange,maxRange,minRwyLen,runwayTypes,radius,parkingTypes,IFR%,AutoRoute?,TouchAndGo?
# ,,(KTAS),(FL),(FL),(nm),(nm),(ft),,(m),,,,
#A3ST,A3STAIB,400,250,300,50,2500,5990,HARD,40,CARGO|RAMP,100,yes,no
#A300-0,A30BAIB,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-1,A30BAZA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-2,A30BBCS,446,250,380,50,3600,6000,HARD,18,GATE|RAMP|CARGO,100,yes,no
#A300-3,A30BBCS2,446,250,380,50,3600,6000,HARD,18,GATE|RAMP|CARGO,100,yes,no
#A300-4,A30BDHL,446,250,380,50,3600,6000,HARD,18,GATE|RAMP|CARGO,100,yes,no
#A300-5,A30BDOA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-6,A30BDOA2,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-7,A30BEAL,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-8,A30BIRA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-9,A30BIRA2,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-10,A30BIRM,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-11,A30BITF,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-12,A30BMSX,446,250,380,50,3600,6000,HARD,18,GATE|RAMP|CARGO,100,yes,no
#A300-13,A30BOHY,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-14,A30BPAA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-15,A30BSVA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-16,A30BTAY,446,250,380,50,3600,6000,HARD,18,GATE|RAMP|CARGO,100,yes,no
#A300-17,A30BTEJ,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A300-18,A30BVIA,446,250,380,50,3600,6000,HARD,18,GATE|RAMP,100,yes,no
#A318-0,A318AFR,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-1,A318AIB,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-2,A318AVA,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-3,A318BAW,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-4,A318CKY,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-5,A318FFT,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-6,A318LAN,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-7,A318LNE,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-8,A318MXA,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-9,A318ONE,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-10,A318RJA,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-11,A318ROT,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-12,A318SVW,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#A318-13,A318UNA,447,250,380,50,3000,5997,HARD,13,GATE|RAMP,100,yes,no
#AIRBUS A320 - LUFTHANSA
A320-134,A320DLH,450,100,400,50,2900,5600,HARD,18,GATE|RAMP,100,yes,no
#AIRBUS A320 - VUELING
A320-200,A320VLG,450,100,400,50,2900,5600,HARD,18,GATE|RAMP,100,yes,no
A321-2,Airbus A321 Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4,Airbus A321 Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-5,Airbus A321 Paint5,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-2a,Airbus A321 Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4a,Airbus A321 Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-5a,Airbus A321 Paint5,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-2b,Airbus A321 Paint2,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
A321-4b,Airbus A321 Paint4,477,250,350,200,2400,5600,HARD,18,GATE,100,yes,no
#ATR 72-500(210) - AIR EUROPA
ATR725-1,AT73AEA,275,100,250,50,825,4000,HARD,13,RAMP|GATE,100,yes,no
#ATR 72-600 - AIR-NOSTRUM IBERIA
ATR726-1,AT76ANE,275,100,250,50,825,4000,HARD,13,RAMP|GATE,100,yes,no
BE58-1,Beech Baron 58 Paint1,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-2,Beech Baron 58 Paint2,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-3,Beech Baron 58 Paint3,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-1a,Beech Baron 58 Paint1,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-2a,Beech Baron 58 Paint2,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-3a,Beech Baron 58 Paint3,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-1b,Beech Baron 58 Paint1,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-2b,Beech Baron 58 Paint2,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
BE58-3b,Beech Baron 58 Paint3,200,40,120,50,661,4000,HARD,6,RAMP,50,yes,no
B350-1,Beech King Air 350 Paint1,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-2,Beech King Air 350 Paint2,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-3,Beech King Air 350 Paint3,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-1a,Beech King Air 350 Paint1,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-2a,Beech King Air 350 Paint2,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-3a,Beech King Air 350 Paint3,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-1b,Beech King Air 350 Paint1,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B350-2b,Beech King Air 350 Paint2,315,150,250,100,1298,4000,HARD,9,RAMP,75,yes,no
B734-2,Boeing 737-800 Paint2,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-4,Boeing 737-800 Paint4,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-5,Boeing 737-800 Paint5,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-2a,Boeing 737-800 Paint2,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-4a,Boeing 737-800 Paint4,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-5a,Boeing 737-800 Paint5,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-2b,Boeing 737-800 Paint2,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-4b,Boeing 737-800 Paint4,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-5b,Boeing 737-800 Paint5,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-2c,Boeing 737-800 Paint2,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-4c,Boeing 737-800 Paint4,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
B734-5c,Boeing 737-800 Paint5,477,250,350,200,2248,6426,HARD,18,GATE,100,yes,no
#BOEING 737-800 - AIR EUROPA
B738W-7,B738AEAWL,477,100,410,50,2848,6426,HARD,18,GATE|RAMP,100,yes,no
#BOEING 737-800 - RYANAIR-COMUNITAT VALENCIANA
B738W-190,B738RYRWL5,477,100,410,50,2848,6426,HARD,18,GATE|RAMP,100,yes,no
#BOEING 737-800 - RYANAIR
B738W-186,B738RYRWL,477,100,410,50,2848,6426,HARD,18,GATE|RAMP,100,yes,no
